Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,rn
18,YES,Travel_Rarely,230,"RESEARCH & DEVELOPMENT",3,3,"Life Sciences",1,405,3,Male,54,3,1,"LABORATORY TECHNICIAN",3,Single,1420,25233,1,Y,No,13,3,3,80,0,0,2,3,0,0,0,0,1
18,NO,Non-Travel,1124,"RESEARCH & DEVELOPMENT",1,3,"Life Sciences",1,1368,4,Female,97,3,1,"LABORATORY TECHNICIAN",4,Single,1611,19305,1,Y,No,15,3,3,80,0,0,5,4,0,0,0,0,1
18,YES,Non-Travel,247,"RESEARCH & DEVELOPMENT",8,1,Medical,1,1156,3,Male,80,3,1,"LABORATORY TECHNICIAN",3,Single,1904,13556,1,Y,No,12,3,4,80,0,0,0,3,0,0,0,0,1
18,NO,Non-Travel,287,"RESEARCH & DEVELOPMENT",5,2,"Life Sciences",1,1012,2,Male,73,3,1,"RESEARCH SCIENTIST",4,Single,1051,13493,1,Y,No,15,3,4,80,0,0,2,3,0,0,0,0,1
18,NO,Non-Travel,1431,"RESEARCH & DEVELOPMENT",14,3,Medical,1,1839,2,Female,33,3,1,"RESEARCH SCIENTIST",3,Single,1514,8018,1,Y,No,16,3,3,80,0,0,4,1,0,0,0,0,1
18,NO,Travel_Rarely,812,SALES,10,3,Medical,1,411,4,Female,69,2,1,"SALES REPRESENTATIVE",3,Single,1200,9724,1,Y,No,12,3,1,80,0,0,2,3,0,0,0,0,1
18,YES,Travel_Frequently,544,SALES,3,2,Medical,1,1624,2,Female,70,3,1,"SALES REPRESENTATIVE",4,Single,1569,18420,1,Y,Yes,12,3,3,80,0,0,2,4,0,0,0,0,1
18,YES,Travel_Frequently,1306,SALES,5,3,Marketing,1,614,2,Male,69,3,1,"SALES REPRESENTATIVE",2,Single,1878,8059,1,Y,Yes,14,3,4,80,0,0,3,3,0,0,0,0,1
19,YES,Travel_Rarely,489,"HUMAN RESOURCES",2,2,"Technical Degree",1,566,1,Male,52,2,1,"HUMAN RESOURCES",4,Single,2564,18437,1,Y,No,12,3,3,80,0,1,3,4,1,0,0,0,1
19,YES,Travel_Rarely,303,"RESEARCH & DEVELOPMENT",2,3,"Life Sciences",1,243,2,Male,47,2,1,"LABORATORY TECHNICIAN",4,Single,1102,9241,1,Y,No,22,4,3,80,0,1,3,2,1,0,1,0,1
19,NO,Travel_Rarely,1181,"RESEARCH & DEVELOPMENT",3,1,Medical,1,201,2,Female,79,3,1,"LABORATORY TECHNICIAN",2,Single,1483,16102,1,Y,No,14,3,4,80,0,1,3,3,1,0,0,0,1
19,YES,Non-Travel,504,"RESEARCH & DEVELOPMENT",10,3,Medical,1,1248,1,Female,96,2,1,"RESEARCH SCIENTIST",2,Single,1859,6148,1,Y,Yes,25,4,2,80,0,1,2,4,1,1,0,0,1
19,NO,Travel_Rarely,645,"RESEARCH & DEVELOPMENT",9,2,"Life Sciences",1,1193,3,Male,54,3,1,"RESEARCH SCIENTIST",1,Single,2552,7172,1,Y,No,25,4,3,80,0,1,4,3,1,1,0,0,1
